,index,0
1103,1045,Modoc
1104,1046,Glenn
1105,1047,Lassen
1106,1048,Siskiyou
1107,1049,San Diego
1108,1050,Siskiyou
1109,1051,Tulare
1110,1052,San Luis Obispo
1111,1053,Butte
1112,1054,Colusa
1113,1055,Glenn
1114,1056,Lake
1115,1057,Mendocino
1116,1058,Shasta
1117,1059,Trinity
1118,1060,Butte
1119,1061,Los Angeles
1120,1062,Ventura
1121,1063,Mariposa
1122,1064,Napa
1123,1065,Yolo
1124,1066,Shasta
1125,1067,Trinity
1126,1068,Colusa
1127,1069,Lake
1128,1070,Mendocino
1129,1071,Shasta
1130,1072,Modoc
1131,1073,Siskiyou
1132,1074,Tuolumne
1133,1075,Orange
1134,1076,Lassen
1135,1077,Lake
1136,1078,Riverside
1137,1079,San Joaquin
1138,1080,Mono
1139,1081,Merced
1140,1082,Ventura
1141,1083,Solano
1142,1084,Madera
1143,1085,Tehama
1144,1086,Tehama
1145,1087,Humboldt
1146,1088,Los Angeles
1147,1089,Kings
1148,1090,Tehama
1149,1091,Kern
1150,1092,Inyo
1151,1093,Napa
1152,1094,Glenn
1153,1095,Monterey
1154,1096,Solano
1155,1097,Modoc
1156,1098,Inyo
1157,1099,Shasta
1158,1100,Merced
1159,1101,Trinity
1160,1102,Shasta
1161,1103,Solano
1162,1104,San Luis Obispo
1163,1105,Los Angeles
1164,1106,San Bernardino
1165,1107,San Benito
1166,1108,Inyo
1167,1109,Riverside
1168,1110,Sutter
1169,1111,Placer
1170,1112,Santa Barbara
1171,1113,Kern
1172,1114,Mendocino
1173,1115,Butte
1174,1116,Tehama
1175,1117,Amador
1176,1118,Yolo
1177,1119,Placer
1178,1120,Tulare
1179,1121,Monterey
1180,1122,Lassen
1181,1123,Alameda
1182,1124,Tuolumne
1183,1125,Butte
1184,1126,San Benito
1185,1127,San Diego
1186,1128,Alameda
1187,1129,Lassen
1188,1130,Monterey
1189,1131,Monterey
1190,1132,Kern
1191,1133,San Diego
1192,1134,Madera
1193,1135,Butte
1194,1136,Inyo
1195,1137,Shasta
1196,1138,Santa Clara
1197,1139,El Dorado
1198,1140,Trinity
1199,1141,Madera
1200,1142,San Diego
1201,1143,Kern
1202,1144,Calaveras
1203,1145,Madera
1204,1146,Riverside
1205,1147,San Benito
1206,1148,Contra Costa
1207,1149,Tehama
1208,1150,San Diego
1209,1151,Tehama
1210,1152,San Luis Obispo
1211,1153,Santa Barbara
1212,1154,San Diego
1213,1155,Contra Costa
1214,1156,Siskiyou
1215,1157,Siskiyou
1216,1158,San Benito
1217,1159,San Diego
1218,1160,Riverside
1219,1161,Kern
1220,1162,Merced
1221,1163,Butte
1222,1164,Ventura
1223,1165,Merced
1224,1166,Los Angeles
1225,1167,Orange
1226,1168,Santa Barbara
1227,1169,Tehama
1228,1170,Monterey
1229,1171,Lassen
1230,1172,Los Angeles
1231,1173,Tuolumne
1232,1174,Solano
1233,1175,Shasta
1234,1176,Orange
1235,1177,Riverside
1236,1178,Marin
1237,1179,Ventura
1238,1180,Monterey
1239,1181,El Dorado
1240,1182,San Bernardino
1241,1183,Calaveras
1242,1184,Napa
1243,1185,Los Angeles
1244,1186,Glenn
1245,1187,Siskiyou
1246,1188,San Bernardino
1247,1189,Tulare
1248,1190,Plumas
1249,1191,San Benito
1250,1192,Santa Clara
1251,1193,Mariposa
1252,1194,Kern
1253,1195,Santa Barbara
1254,1196,Santa Barbara
1255,1197,Fresno
1256,1198,Mendocino
1257,1199,Lake
1258,1200,Tehama
1259,1201,San Diego
1260,1202,Tulare
1261,1203,San Bernardino
1262,1204,San Luis Obispo
1263,1205,Monterey
1264,1206,Kern
1265,1207,Mendocino
1266,1208,Lassen
1267,1209,Lassen
1268,1210,Madera
1269,1211,Merced
1270,1212,San Luis Obispo
1271,1213,Lake
1272,1214,Calaveras
1273,1215,Santa Barbara
1274,1216,Shasta
1275,1217,Fresno
1276,1218,Colusa
1277,1219,Glenn
1278,1220,Riverside
1279,1221,Santa Clara
1280,1222,Santa Clara
1281,1223,Tehama
